排名,特征,检验方法,卡方值,P值,自由度,Cramer's V,效应量,显著性
1,3、你之前是通过何种方式治疗胆囊结石的？,卡方检验（期望频数较低）,200.0,7.438442064964615e-37,11,inf,大,显著
2,64、出现腹痛是否出现在进食油腻或饮酒之后？,卡方检验,7.634071580291656,0.005727585995238165,1,inf,大,显著
3,51、使用泻药或灌肠。,卡方检验,9.87631896722806,0.019647262705725702,3,inf,大,显著
4,49、你觉得自己口味如何？,卡方检验,7.37192763735564,0.02507299725087657,2,inf,大,显著
5,30、我有晕倒发作，或觉得要晕倒似的。,卡方检验,8.64658764202143,0.03437813378683951,3,inf,大,显著
6,41、胆囊炎。,卡方检验（期望频数较低）,7.971287971287972,0.04660883872118591,3,inf,大,显著
7,63、发现胆囊结石以来是否出现过腹痛？,卡方检验,3.5554487051061137,0.05935025971653867,1,inf,大,不显著
8,66、你的性格特点？,卡方检验,5.383136352850971,0.06777457350491896,2,inf,大,不显著
9,7、年龄,卡方检验,8.620064859955365,0.07133027071855909,4,inf,大,不显著
10,31、夜间去厕所,卡方检验,6.957032296015348,0.07327998245160704,3,inf,大,不显著
11,19、是否经常吃汉中菜豆腐？,卡方检验（期望频数较低）,4.923283125530316,0.08529481918199874,2,inf,大,不显著
12,50、腌制肉,卡方检验（期望频数较低）,13.797560464227134,0.08719692821614204,8,inf,大,不显著
13,2、你周围的朋友或亲属有没有胆囊结石？,卡方检验,2.831048000130124,0.09245800667786215,1,inf,大,不显著
14,51、因紧张、压力致腹痛、拉稀、便秘。,卡方检验,6.14535561903983,0.10474857944330708,3,inf,大,不显著
15,50、草莓。（一豆浆杯那么大。）,卡方检验（期望频数较低）,13.090077813726259,0.10878767180823971,8,inf,大,不显著
16,42、糖尿病。,卡方检验,4.427239427239425,0.10930428138451727,2,inf,大,不显著
17,50、韭菜。,卡方检验（期望频数较低）,12.723595679938771,0.1217203128026989,8,inf,大,不显著
18,50、芹菜。,卡方检验（期望频数较低）,12.548700223118828,0.1283497170428436,8,inf,大,不显著
19,58、你是否饮酒？（指每周至少一次，连续六个月或以上喝酒）,卡方检验,2.2735366485366466,0.13159928645144336,1,inf,大,不显著
20,50、水。（一杯500毫升。）,卡方检验,12.442187015731875,0.13253809711667947,8,inf,大,不显著
21,41、恶性肿瘤。,卡方检验,3.966805433081091,0.1376002252434515,2,inf,大,不显著
22,30、我手脚麻木和刺痛。,卡方检验,5.424406493925209,0.1432305090855255,3,inf,大,不显著
23,50、茼蒿。,卡方检验（期望频数较低）,12.08156041489375,0.14760178943657984,8,inf,大,不显著
24,31、感觉热。,卡方检验,5.254868206364597,0.15405787913644867,3,inf,大,不显著
25,31、夜间夜醒或早醒。,卡方检验,5.237625808976273,0.1552013492115476,3,inf,大,不显著
26,35、近一个月，你做事情的精力不足吗？,卡方检验,3.694953796579813,0.15763439258725898,2,inf,大,不显著
27,50、米面，凉皮，米线，（一中碗。）,卡方检验（期望频数较低）,11.726088660135003,0.16384990223540835,8,inf,大,不显著
28,50、菠菜。,卡方检验（期望频数较低）,11.578332188534922,0.17103229912220239,8,inf,大,不显著
29,50、其他含糖饮料。（七喜、果啤、冰峰一瓶330毫升。）,卡方检验（期望频数较低）,11.486519862445014,0.17562599915343222,8,inf,大,不显著
30,30、我手脚发抖，打颤。,卡方检验,4.849929751115524,0.18312166959751283,3,inf,大,不显著
31,50、大米，（一中碗。）,卡方检验,11.305956449307098,0.18495856018045295,8,inf,大,不显著
32,51、频繁的放屁。,卡方检验,4.787072711216396,0.1880693930279233,3,inf,大,不显著
33,50、牛肉 （一份。）,卡方检验（期望频数较低）,11.207902060615238,0.19019516560082506,8,inf,大,不显著
34,11、近一年你是否经常运动？,卡方检验,4.718350438485444,0.1936214195500288,3,inf,大,不显著
35,18、是否经常吃汉中米皮？,卡方检验（期望频数较低）,3.28171338105113,0.19381393258897575,2,inf,大,不显著
36,41、痛风。,卡方检验（期望频数较低）,4.625349540603778,0.2013782250292049,3,inf,大,不显著
37,50、虾。（一份四只。）,卡方检验（期望频数较低）,10.906342721710015,0.20706263530331587,8,inf,大,不显著
38,42、高胆固醇血症,卡方检验,3.146615573060709,0.207358150209384,2,inf,大,不显著
39,48、调味品使用情况（单位：匙）—酱油。,卡方检验,10.84417884378134,0.21068552216222863,8,inf,大,不显著
40,42、幽门螺旋杆菌感染,卡方检验（期望频数较低）,3.074212882112732,0.21500232411915496,2,inf,大,不显著
41,51、大便带粘液。,卡方检验,4.399143529578312,0.2214648150326563,3,inf,大,不显著
42,50、胡萝卜。,卡方检验（期望频数较低）,10.564007405513834,0.22764722114184732,8,inf,大,不显著
43,38、近一个月通常早上几点钟起床？,卡方检验（期望频数较低）,32.02507691944152,0.23115675278277392,27,inf,大,不显著
44,50、鸡蛋 （一个。）,卡方检验,10.489934676068462,0.2323073356123791,8,inf,大,不显著
45,41、冠心病。,卡方检验（期望频数较低）,4.274340039045922,0.23332362978643548,3,inf,大,不显著
46,42、痛风。,卡方检验,2.8981622657512003,0.23478592607604212,2,inf,大,不显著
47,50、洋葱，大葱，小葱。,卡方检验（期望频数较低）,10.430828077886899,0.2360792816693365,8,inf,大,不显著
48,40、你的父母是否汉中本地人,卡方检验,4.185512108769186,0.24211640646931445,3,inf,大,不显著
49,51、感到腹胀，多气或发出咕咕声。,卡方检验,4.170190683448029,0.243663360176816,3,inf,大,不显著
50,50、酸奶 （一盒。）,卡方检验（期望频数较低）,10.255436571226044,0.24755341379822837,8,inf,大,不显著
51,17、近一年是否经常点外卖,卡方检验,4.125618679649554,0.24821517601668328,3,inf,大,不显著
52,56、你吸烟共多少年。,卡方检验（期望频数较低）,31.544011544011546,0.24939298215180358,27,inf,大,不显著
53,50、芒果。,卡方检验（期望频数较低）,10.193179910694035,0.25172822697527303,8,inf,大,不显著
54,42、你的父亲是否患有或患过下列疾病？—高血压。,卡方检验,2.7063829596783835,0.2584142194286187,2,inf,大,不显著
55,31、做噩梦。,卡方检验,4.006142401864327,0.2608016249526912,3,inf,大,不显著
56,44、你的高密度脂蛋白数值是多少？（不清楚则填0）,卡方检验（期望频数较低）,3.903783735716508,0.27204293636448695,3,inf,大,不显著
57,50、橙子。,卡方检验（期望频数较低）,9.877782150509425,0.2737090557621363,8,inf,大,不显著
58,50、淡水鱼 （一块。）,卡方检验（期望频数较低）,9.77186766521764,0.2814043697641059,8,inf,大,不显著
59,50、圣女果，（一份五个。）,卡方检验（期望频数较低）,9.72506601469683,0.28485538143909345,8,inf,大,不显著
60,42、冠心病。,卡方检验,2.481336490905868,0.28919090284942056,2,inf,大,不显著
61,48、豆瓣酱。,卡方检验（期望频数较低）,9.646741704157973,0.29070030693207294,8,inf,大,不显著
62,41、胆囊结石。,卡方检验（期望频数较低）,3.7391641449980066,0.2910421025247185,3,inf,大,不显著
63,52、在过去三个月，你排便的次数是多少？,卡方检验（期望频数较低）,4.929578212619594,0.2945998336846578,4,inf,大,不显著
64,32、近一个月，总的来说，你认为自己的睡眠质量？,卡方检验,3.6363227498625204,0.303507135680024,3,inf,大,不显著
65,50、即食燕麦。（一份。）,卡方检验（期望频数较低）,9.464257083304705,0.3046564666567293,8,inf,大,不显著
66,50、动物内脏，（如两小段猪大肠。）,卡方检验（期望频数较低）,9.420394420394421,0.30808166479041027,8,inf,大,不显著
67,60、你经常饮用的茶是？,卡方检验（期望频数较低）,55.507099079666865,0.3087623933375634,51,inf,大,不显著
68,45、你的低密度脂蛋白数值是多少？（不清楚则填0）,卡方检验（期望频数较低）,2.3436880579737704,0.30979514299754163,2,inf,大,不显著
69,30、我的手常常是干燥温暖的。,卡方检验（期望频数较低）,3.5700273324035714,0.31179273736814833,3,inf,大,不显著
70,30、我觉得我可能将要发疯。,卡方检验,3.5524624671911487,0.31402138703565996,3,inf,大,不显著
71,22、是否经常吃浆水面？,卡方检验（期望频数较低）,3.489693344765808,0.32210132170350453,3,inf,大,不显著
72,50、面条。（一中碗。）,卡方检验（期望频数较低）,9.24166858169728,0.3223212004915439,8,inf,大,不显著
73,65、你从事脑力工作，还是体力工作？,卡方检验,2.2598870056497176,0.32305150740427707,2,inf,大,不显著
74,4、你的性别,卡方检验,0.9735987264077166,0.32378430392142277,1,inf,大,不显著
75,51、日常排便习惯。（并不包括生病不适的日子。）—不能定时排便。,卡方检验,3.469672710021401,0.3247168221784321,3,inf,大,不显著
76,50、桔子或柑橘。,卡方检验（期望频数较低）,9.131720012442127,0.3313064393683612,8,inf,大,不显著
77,50、榨菜，腌菜，咸菜，江水菜。,卡方检验（期望频数较低）,9.03138948593494,0.33965490251868646,8,inf,大,不显著
78,50、橙汁 （一杯250毫升。）,卡方检验（期望频数较低）,8.908128908128909,0.35010533200605115,8,inf,大,不显著
79,30、我脸红，发热。,卡方检验（期望频数较低）,3.278650789509459,0.35062512780520694,3,inf,大,不显著
80,50、玉米。,卡方检验（期望频数较低）,8.779114042271937,0.36127106367568784,8,inf,大,不显著
81,37、近一个月从上床到睡觉通常需要多少分钟？,卡方检验（期望频数较低）,110.43771043771045,0.36456578512999677,106,inf,大,不显著
82,33、近一个月你用药物催眠的情况？,卡方检验,3.0480740191637157,0.38427233564045593,3,inf,大,不显著
83,50、香蕉。,卡方检验（期望频数较低）,8.507057391238183,0.38556790804755975,8,inf,大,不显著
84,41、中风。,卡方检验（期望频数较低）,1.8993352326685677,0.3868695912192886,2,inf,大,不显著
85,12、您是否每日按时一日三餐,卡方检验（期望频数较低）,8.473587604022386,0.38862637481623613,8,inf,大,不显著
86,30、我常常要小便。,卡方检验,3.003191307284875,0.39113340112174316,3,inf,大,不显著
87,30、我觉得心跳很快。,卡方检验,2.9745417980712094,0.39556700820503476,3,inf,大,不显著
88,47、你的胆固醇数值是多少？（不清楚则填0）,卡方检验（期望频数较低）,2.9531004320920275,0.3989128343556012,3,inf,大,不显著
89,30、我觉得一切都很好，也不会发生什么不幸。,卡方检验,2.952602952602954,0.39899074601696904,3,inf,大,不显著
90,48、白/红糖,卡方检验,8.327911968400805,0.40211170904421717,8,inf,大,不显著
91,50、樱桃。（一豆浆杯那么大。）,卡方检验（期望频数较低）,8.31303684459301,0.40350443435012295,8,inf,大,不显著
92,50、奶糖，水果糖两块。,卡方检验（期望频数较低）,8.302774809544635,0.4044669284614106,8,inf,大,不显著
93,50、油条，油饼。（半个。）,卡方检验（期望频数较低）,8.296898081665702,0.40501873437646424,8,inf,大,不显著
94,50、中式点心，绿豆糕等一块。,卡方检验（期望频数较低）,8.29431403116268,0.40526151060145277,8,inf,大,不显著
95,50、南瓜。（1/4个。）,卡方检验（期望频数较低）,8.237714777835574,0.4106008098770427,8,inf,大,不显著
96,50、瘦鲜猪肉，（一份。）,卡方检验,8.222292001258133,0.41206288179504785,8,inf,大,不显著
97,23、是否经常吃柿子（包括柿饼）？,卡方检验,1.7490412142818557,0.4170619082627124,2,inf,大,不显著
98,50、绿豆，红豆，蚕豆。（一把。）,卡方检验（期望频数较低）,8.061189304936972,0.4275159142853693,8,inf,大,不显著
99,36、近一个月，晚上上床时间通常点钟？,卡方检验（期望频数较低）,30.574431180491782,0.43653697312026124,30,inf,大,不显著
100,50、腊肉,卡方检验（期望频数较低）,7.918405383940907,0.44148092571765674,8,inf,大,不显著
101,9、你怀孕过几次？,卡方检验（期望频数较低）,6.830476729466629,0.4467416018297833,7,inf,大,不显著
102,10、您所生活的县区,卡方检验（期望频数较低）,10.9463528101299,0.44776858504718475,11,inf,大,不显著
103,50、纯奶 （一盒250毫升。）,卡方检验（期望频数较低）,7.773653910272052,0.45588696763069436,8,inf,大,不显著
104,46、你的甘油三酯数值是多少？（不清楚则填0）,卡方检验（期望频数较低）,5.69126640555212,0.4586474001161661,6,inf,大,不显著
105,39、近一个月每天通常实际睡眠几个小时？,卡方检验（期望频数较低）,18.931249017928167,0.46125454437474256,19,inf,大,不显著
