特征,重要性
5、您的身高是多少厘米？,0.08376842409576118
6、你的体重是多少Kg,0.06752431197732987
13、您家里饮食用水常来自于哪里？,0.06320769352139492
17、近一年是否经常点外卖,0.03435584549109901
12、您是否每日按时一日三餐,0.0332966666059523
7、年龄,0.03317293327727586
16、您家中一壶食用油食用多久？（5升一壶）,0.03312514275666328
11、近一年你是否经常运动？,0.03228503324722548
27、第一个孩子出生时年龄是多少？,0.03212936066759189
30、我有晕倒发作，或觉得要晕倒似的。,0.02917345295744451
30、我觉得一切都很好，也不会发生什么不幸。,0.02787155305010487
30、我容易心里烦乱，或觉得惊恐。,0.023232188345458486
30、我手脚发抖，打颤。,0.022517358279157282
31、近一个月因下列情况影响睡眠而烦恼。—入睡困难，30分钟内不能入睡。,0.02161418780267738
30、我常常要小便。,0.021308590669369205
30、我觉得我可能将要发疯。,0.02093481323849061
30、我因为头疼，颈痛和背痛而苦恼。,0.02071082314572497
28、你的月经是否规律？,0.020704610528884747
26、你第一次来月经的年龄是？,0.01981322867146236
30、我容易入睡，并且一夜睡得很好。,0.019655871807262276
30、我觉得心跳很快。,0.019581922454802666
8、你有几个孩子？,0.019534054700626507
30、我感觉容易衰弱或疲倦。,0.01938195670353837
30、我手脚麻木和刺痛。,0.018682394838617986
30、我觉得心平气和，并且容易安静坐着。,0.01854531324622398
23、是否经常吃柿子（包括柿饼）？,0.018273037388158025
30、我脸红，发热。,0.01706990870684052
30、焦虑状况。—我觉得比平时容易紧张和着急。,0.016548111999755335
30、因为一阵阵头晕而苦恼。,0.016332207565772142
22、是否经常吃浆水面？,0.016163817890258617
14、您家中食用水是否使用净水器,0.015387156932840991
30、我做噩梦。,0.015296029101887655
30、我呼气，吸气都感到很容易。,0.015124169728203405
30、我因为胃痛和消化不良而苦恼。,0.014686773256472972
30、我无缘无故的感到害怕。,0.014259391176979375
21、火锅锅底常选择？,0.012979696947489471
19、是否经常吃汉中菜豆腐？,0.012706101625308492
30、我的手常常是干燥温暖的。,0.01266851480357708
18、是否经常吃汉中米皮？,0.012486025685272737
25、你所口服或注射的药物是？,0.012374180102761399
24、你近半年有没有经常口服或注射某种药物？,0.010012790087967047
29、你的绝经年龄是多少岁？,0.008720758975480126
20、是否经常吃火锅？,0.002783595944834685
