特征,重要性
5、您的身高是多少厘米？,0.15825342390880062
6、你的体重是多少Kg,0.123103762848898
13、您家里饮食用水常来自于哪里？,0.1065748805583946
16、您家中一壶食用油食用多久？（5升一壶）,0.059630345691652195
11、近一年你是否经常运动？,0.05850037732463575
30、我手脚发抖，打颤。,0.05507957085513618
12、您是否每日按时一日三餐,0.055004916433615984
7、年龄,0.05307664556820855
17、近一年是否经常点外卖,0.0487503898423975
27、第一个孩子出生时年龄是多少？,0.04365330037194417
28、你的月经是否规律？,0.038087990130224805
26、你第一次来月经的年龄是？,0.03441924159487523
22、是否经常吃浆水面？,0.03401352709369638
30、焦虑状况。—我觉得比平时容易紧张和着急。,0.02835067998472757
18、是否经常吃汉中米皮？,0.024061952290549894
14、您家中食用水是否使用净水器,0.023770084163834505
21、火锅锅底常选择？,0.023469459147325525
19、是否经常吃汉中菜豆腐？,0.021574646274229677
20、是否经常吃火锅？,0.0106248059168527
