列名,类型,唯一值数量,编码方式,原始值
1、你是否患有胆囊结石？,分类,2,LabelEncoder,"['没有', '有']"
2、你周围的朋友或亲属有没有胆囊结石？,分类,2,LabelEncoder,"['有', '没有']"
3、你之前是通过何种方式治疗胆囊结石的？,分类,12,LabelEncoder,12个值
4、你的性别,分类,2,LabelEncoder,"['男', '女']"
5、您的身高是多少厘米？,分类,37,LabelEncoder,37个值
6、你的体重是多少Kg,分类,48,LabelEncoder,48个值
7、年龄,分类,5,LabelEncoder,"['40-60岁', '20-40岁', '61-80岁', '20岁以下', '80岁以上']"
8、你有几个孩子？,分类,7,LabelEncoder,"['(跳过)', '1个', '2个', '没有', '5个', '3个', '4个']"
9、你怀孕过几次？,分类,8,LabelEncoder,"['(跳过)', '1次', '2次', '4次', '3次', '没有怀孕过', '5次', '6次及以上']"
10、您所生活的县区,分类,12,LabelEncoder,12个值
11、近一年你是否经常运动？,分类,4,LabelEncoder,"['1-2次/周', '基本不运动', '每天都运动', '3-6次/周']"
12、您是否每日按时一日三餐,分类,9,LabelEncoder,"['按时一日三餐', '经常不吃早餐┋经常吃夜宵', '经常不吃晚餐', '经常不吃早餐', '按时一日三餐┋经常不吃晚餐', '按时一日三餐┋经常吃夜宵', '按时一日三餐┋经常不吃午餐', '经常不吃午餐', '经常吃夜宵']"
13、您家里饮食用水常来自于哪里？,分类,27,LabelEncoder,27个值
14、您家中食用水是否使用净水器,分类,2,LabelEncoder,"['用', '不用']"
15、你的家庭长期几口人一起生活？,分类,8,LabelEncoder,"['6人', '2人', '3人', '5人', '4人', '7人以上', '1人', '7人']"
16、您家中一壶食用油食用多久？（5升一壶）,分类,5,LabelEncoder,"['2月', '4月', '6月及以上', '3月', '5月']"
17、近一年是否经常点外卖,分类,4,LabelEncoder,"['4—10次/月', '≤3次/月', '从不点外卖', '≥11次/月']"
18、是否经常吃汉中米皮？,分类,3,LabelEncoder,"['≤3次/周', '3-7次/周', '＞7次/周']"
19、是否经常吃汉中菜豆腐？,分类,3,LabelEncoder,"['≤3次/周', '3-7次/周', '＞7次/周']"
20、是否经常吃火锅？,分类,3,LabelEncoder,"['≤1次/周', '2-3次/周', '≥4次每周']"
21、火锅锅底常选择？,分类,2,LabelEncoder,"['清汤锅底', '红油锅底']"
22、是否经常吃浆水面？,分类,4,LabelEncoder,"['1-2次/周', '不吃', '3-7次每周', '＞7次/周']"
23、是否经常吃柿子（包括柿饼）？,分类,3,LabelEncoder,"['不吃或基本不吃', '每月都吃', '每周都吃']"
