特征,重要性
5、您的身高是多少厘米？,0.07976676201804848
6、你的体重是多少Kg,0.07160503733943753
13、您家里饮食用水常来自于哪里？,0.06344613028230918
27、第一个孩子出生时年龄是多少？,0.03521399181953763
12、您是否每日按时一日三餐,0.03494628912917533
17、近一年是否经常点外卖,0.03486158145788076
11、近一年你是否经常运动？,0.034668429938531066
30、我有晕倒发作，或觉得要晕倒似的。,0.03332171214187038
16、您家中一壶食用油食用多久？（5升一壶）,0.033132737234973966
30、我觉得一切都很好，也不会发生什么不幸。,0.028927155126610104
26、你第一次来月经的年龄是？,0.02724925878387142
7、年龄,0.02516692686986445
30、我手脚发抖，打颤。,0.02389819075012361
30、我觉得心平气和，并且容易安静坐着。,0.02377887042270875
28、你的月经是否规律？,0.023631633286938687
30、我感觉容易衰弱或疲倦。,0.023535520046967018
30、我常常要小便。,0.02318884737307281
30、我因为头疼，颈痛和背痛而苦恼。,0.021786095505834893
30、我觉得我可能将要发疯。,0.021119478202987114
30、我容易心里烦乱，或觉得惊恐。,0.020030303822506246
30、我脸红，发热。,0.019023427551844024
31、近一个月因下列情况影响睡眠而烦恼。—入睡困难，30分钟内不能入睡。,0.018009108754202793
30、我觉得心跳很快。,0.017538250778787158
8、你有几个孩子？,0.017502653174076958
30、我容易入睡，并且一夜睡得很好。,0.017119477496449577
30、我做噩梦。,0.016024995634356977
30、我手脚麻木和刺痛。,0.015917728830019354
23、是否经常吃柿子（包括柿饼）？,0.015793232051139083
30、焦虑状况。—我觉得比平时容易紧张和着急。,0.015374464450430798
25、你所口服或注射的药物是？,0.015334785640701067
14、您家中食用水是否使用净水器,0.015318192531269965
30、我无缘无故的感到害怕。,0.015127557457514585
30、我因为胃痛和消化不良而苦恼。,0.013812952654883854
30、因为一阵阵头晕而苦恼。,0.01371137121774314
18、是否经常吃汉中米皮？,0.013467005935407369
22、是否经常吃浆水面？,0.013126667605141577
30、我呼气，吸气都感到很容易。,0.013016902008520079
19、是否经常吃汉中菜豆腐？,0.013001413436728977
30、我的手常常是干燥温暖的。,0.012219676652339494
21、火锅锅底常选择？,0.010426939274399203
24、你近半年有没有经常口服或注射某种药物？,0.008201466466167397
29、你的绝经年龄是多少岁？,0.005132257356933898
20、是否经常吃火锅？,0.0025245214876932925
