特征,重要性
3、你之前是通过何种方式治疗胆囊结石的？,0.21849452132629874
30、我觉得心平气和，并且容易安静坐着。,0.01641170845891653
6、你的体重是多少Kg,0.014204023684205617
50、芹菜。,0.0120899261725318
10、您所生活的县区,0.011335938410874323
31、夜间夜醒或早醒。,0.010424161634326669
27、第一个孩子出生时年龄是多少？,0.009910006722261855
50、即食燕麦。（一份。）,0.009667309030621764
54、最长排便时段为？选一个或两个。,0.009476922088700268
50、水。（一杯500毫升。）,0.009462739288477046
50、酸奶 （一盒。）,0.009028083765691846
39、近一个月每天通常实际睡眠几个小时？,0.008781321455246875
50、虾。（一份四只。）,0.008550266567471014
50、鸡蛋 （一个。）,0.008326319885411286
30、我觉得心跳很快。,0.00820481707942685
50、牛肉 （一份。）,0.008058995782328852
50、菠菜。,0.007847216318050436
50、苹果。,0.007837410317538547
50、面条。（一中碗。）,0.007827808463929123
30、我觉得我可能将要发疯。,0.007798405989397081
50、韭菜。,0.007551871428521241
43、你是否患有一下疾病,0.007210722281824112
50、草莓。（一豆浆杯那么大。）,0.007071320545730975
37、近一个月从上床到睡觉通常需要多少分钟？,0.006921519543220048
38、近一个月通常早上几点钟起床？,0.00661015165180031
50、黄瓜，茄子，苦瓜，丝瓜。（一根。）,0.00636402697981802
51、使用泻药或灌肠。,0.00630360687998239
50、橙子。,0.006278710501331609
17、近一年是否经常点外卖,0.006229257391035679
48、调味品使用情况（单位：匙）—酱油。,0.0059248024095331486
50、含咖啡和糖的非碳酸饮料。（如雀巢咖啡一瓶330毫升。）,0.0057134818680729844
50、茼蒿。,0.005672666806143882
52、在过去三个月，你排便的次数是多少？,0.005528948179267416
50、芒果。,0.005514743044309746
5、您的身高是多少厘米？,0.005381808555766676
18、是否经常吃汉中米皮？,0.005327895371847456
48、醋,0.005323275522153723
50、海水鱼。（一块。）,0.0052021370231860545
51、因食物、饮料致腹痛、拉稀、便秘。,0.005189602247949364
51、有便意时腹部绞痛。,0.005150957813862576
50、黄豆，黑豆。,0.005145361501670822
50、中式点心，绿豆糕等一块。,0.005089145550388976
51、感到腹胀，多气或发出咕咕声。,0.005079099840208399
50、豆腐丝，豆腐皮，豆腐干，腐竹。,0.0049466646566848375
12、您是否每日按时一日三餐,0.0049358713583608485
50、切面包一片。,0.004882678815974054
50、米面，凉皮，米线，（一中碗。）,0.00482437700011078
30、我脸红，发热。,0.004796026187948524
50、橙汁 （一杯250毫升。）,0.004718628537462296
63、发现胆囊结石以来是否出现过腹痛？,0.004689800825164783
50、干枣。（一份三个。）,0.004686113994051686
50、洋葱，大葱，小葱。,0.004635556438640439
50、其他含糖饮料。（七喜、果啤、冰峰一瓶330毫升。）,0.004594836463007194
40、你的父母是否汉中本地人,0.004593997957296278
50、葡萄一小串。,0.004575095793705702
33、近一个月你用药物催眠的情况？,0.0045034948105771464
50、柚子。,0.004409879745520468
30、我手脚发抖，打颤。,0.0043872059609641354
50、菠萝。,0.004385672371900174
50、玉米。,0.004344442743777491
50、圣女果，（一份五个。）,0.004339562253172808
50、高笋。,0.004279795477958163
48、花生酱。,0.00427547791428188
50、纯奶 （一盒250毫升。）,0.004265629912875516
31、疼痛不适。,0.004259568213527507
50、绿豆，红豆，蚕豆。（一把。）,0.004207484739455153
50、樱桃。（一豆浆杯那么大。）,0.004171770547662182
50、木瓜。,0.004160923679054531
