特征,重要性
50、芹菜。,0.020808292806687362
50、橙汁 （一杯250毫升。）,0.017411924788154017
50、即食燕麦。（一份。）,0.016577691998112556
30、我觉得心平气和，并且容易安静坐着。,0.014879885581375405
41、高血脂,0.014806394878161338
50、水。（一杯500毫升。）,0.013688330943176001
31、夜间夜醒或早醒。,0.013618537718933671
10、您所生活的县区,0.013516208062822103
50、小米，（一中碗。）,0.012523920682994521
51、使用泻药或灌肠。,0.012275159842110027
38、近一个月通常早上几点钟起床？,0.011946522211160606
50、草莓。（一豆浆杯那么大。）,0.011900861281178638
50、榨菜，腌菜，咸菜，江水菜。,0.01182035202426346
41、冠心病。,0.011376797523957973
54、最长排便时段为？选一个或两个。,0.011103602913076795
6、你的体重是多少Kg,0.01099545634170134
60、你经常饮用的茶是？,0.01067356024571265
50、米面，凉皮，米线，（一中碗。）,0.010607918333685195
17、近一年是否经常点外卖,0.010260732024518557
50、黄瓜，茄子，苦瓜，丝瓜。（一根。）,0.009711192514030697
13、您家里饮食用水常来自于哪里？,0.009523319614823677
50、含咖啡和糖的非碳酸饮料。（如雀巢咖啡一瓶330毫升。）,0.009215606262728238
30、我手脚发抖，打颤。,0.009192634491520718
50、奶糖，水果糖两块。,0.009179376158067264
50、紫菜。 （干。）,0.009080157230460593
50、根面角,0.008914286088620521
50、哈密瓜。,0.00890118296623162
50、大白菜。,0.008890657762377234
39、近一个月每天通常实际睡眠几个小时？,0.008877793453702073
50、牛肉 （一份。）,0.008814923591700996
50、菠萝。,0.008786059907391952
36、近一个月，晚上上床时间通常点钟？,0.008429089530603793
48、沙拉酱。,0.00832531054367546
30、我觉得心跳很快。,0.00818694555542281
50、胡萝卜。,0.007782923967293854
50、绿豆，红豆，蚕豆。（一把。）,0.0076914434045112145
50、纯奶 （一盒250毫升。）,0.007461536583518712
37、近一个月从上床到睡觉通常需要多少分钟？,0.007330686158809977
50、樱桃。（一豆浆杯那么大。）,0.007237270785206196
50、酸奶 （一盒。）,0.007226881303144178
51、因紧张、压力致腹痛、拉稀、便秘。,0.0071626179701422795
50、菠菜。,0.00715594789678312
50、橙子。,0.00688938913326441
26、你第一次来月经的年龄是？,0.006838455573605848
50、茼蒿。,0.006759091582132655
50、核桃馍,0.0066638688802584355
50、切面包一片。,0.006544912116298964
65、你从事脑力工作，还是体力工作？,0.006406900632669524
50、罐罐茶,0.00637058867894278
50、柿子。,0.006350254546178086
50、羊肉 （一份。）,0.006277487869890265
27、第一个孩子出生时年龄是多少？,0.006177803694126606
5、您的身高是多少厘米？,0.006157022545144235
31、咳嗽或鼾声高。,0.006138829870202453
50、苹果。,0.0061237588190489675
50、咖啡粉，（如雀巢一袋。）,0.006100269580083515
50、腊肉,0.006081347962940872
50、动物内脏，（如两小段猪大肠。）,0.005938665074060195
50、红薯。（一个。）,0.005665019458861719
66、你的性格特点？,0.00563079401038865
50、含咖啡因的糖和碳酸饮料。（如可口可乐，雪碧。330毫升）,0.005495476389499318
50、腌制肉,0.005448511932200248
30、我容易入睡，并且一夜睡得很好。,0.0053630573414015495
50、香肠、腊肠、火腿肠等。,0.005329008895685709
40、你的父母是否汉中本地人,0.005298152203764058
50、竹笋。,0.005261942765662748
51、感到腹胀，多气或发出咕咕声。,0.005188757283449447
50、小青菜。,0.005133497716220634
30、我做噩梦。,0.0051057205511771744
50、瘦鲜猪肉，（一份。）,0.005054717063757641
