特征,重要性
10、您所生活的县区,0.14410453807148985
13、您家里饮食用水常来自于哪里？,0.13448392577857288
12、您是否每日按时一日三餐,0.09944993249656843
7、年龄,0.0897295581025105
16、您家中一壶食用油食用多久？（5升一壶）,0.08620251608929377
17、近一年是否经常点外卖,0.07365062296139896
11、近一年你是否经常运动？,0.06483431429201966
22、是否经常吃浆水面？,0.05639102230435502
18、是否经常吃汉中米皮？,0.05482509313493178
30、我的手常常是干燥温暖的。,0.05352063744352788
4、你的性别,0.03999633159720332
14、您家中食用水是否使用净水器,0.038343981130022464
19、是否经常吃汉中菜豆腐？,0.029082675992775156
21、火锅锅底常选择？,0.028114585458426163
20、是否经常吃火锅？,0.007270265146904306
